# Evoluation started on 2015/07/18 04:00:59
# Generation	   Best 	   Average 	   Worst
	147		  11.315	  10.989	   9.751
	148		  11.232	  10.991	  10.109
	149		  11.397	  11.180	  10.247
	150		  11.358	  11.094	  10.297
	151		  11.374	  11.136	  10.430
	152		  11.035	  10.769	  10.159
	153		  11.263	  10.975	  10.263
	154		  11.310	  11.078	   9.940
	155		  11.424	  11.233	  10.283
	156		  11.300	  11.012	  10.043
	157		  11.151	  10.892	  10.251
	158		  11.297	  11.036	  10.161
	159		  11.385	  11.159	  10.682
	160		  11.200	  11.023	  10.007
	161		  11.344	  11.155	   9.877
	162		  11.257	  11.097	  10.690
	163		  11.294	  11.039	  10.064
	164		  11.330	  11.155	   9.932
	165		  11.249	  11.033	   9.521
	166		  11.081	  10.887	  10.119
	167		  11.158	  10.937	  10.320
	168		  11.102	  10.820	   9.945
	169		  11.277	  11.070	   9.238
	170		  11.287	  11.056	   9.228
	171		  11.249	  11.060	  10.116
	172		  11.348	  11.218	  10.476
	173		  11.242	  10.993	   9.353
	174		  11.334	  11.074	   9.726
	175		  11.354	  11.146	   9.735
	176		  11.295	  10.951	   9.726
	177		  11.349	  11.147	  10.132
	178		  11.299	  11.079	  10.506
	179		  11.326	  11.139	  10.417
	180		  11.316	  11.074	   9.162
	181		  11.241	  10.964	  10.537
	182		  11.116	  10.920	  10.166
	183		  11.263	  11.055	   9.971
	184		  11.335	  11.160	  10.495
	185		  11.324	  11.093	  10.145
	186		  11.406	  11.224	  10.605
	187		  11.371	  11.142	  10.846
	188		  11.160	  10.974	  10.575
	189		  11.262	  11.077	  10.108
	190		  11.126	  10.931	  10.069
	191		  11.156	  10.963	  10.080
	192		  11.479	  11.202	   9.268
	193		  11.429	  11.195	   9.903
	194		  11.234	  11.029	   9.886
	195		  11.287	  10.995	   9.763
	196		  11.358	  11.136	  10.308
	197		  11.385	  11.210	  10.174
	198		  11.299	  11.014	   9.584
	199		  11.268	  11.038	   9.969
	200		  11.119	  10.911	   9.918
	201		  11.320	  10.985	  10.046
	202		  11.199	  10.946	   9.755
	203		  11.131	  10.822	   9.299
	204		  11.344	  11.029	   9.850
	205		  11.319	  11.039	   9.919
	206		  11.286	  11.016	   9.817
	207		  11.314	  11.111	  10.210
